Model,Period,RMSE,MAE,Bias,R,R2,MaxErr,Std_pred,Std_obs
LSTM,Overall,0.15053724567613114,0.11249924381675179,0.0009822904872306833,0.9184250213975406,0.8435045199290728,0.46713925793497424,0.38009872685304363,0.34196432326430337
LSTM,Jan,0.1171396190492411,0.0949839377466955,-0.05162613429759932,0.8952481085577308,0.8014691758761946,0.24175904877278853,0.230104168995218,0.229337775011551
LSTM,Feb,0.21480399148324988,0.17352193340474478,0.023736088672547822,0.6922253348996089,0.4791759142768757,0.46713925793497424,0.28575942250255704,0.2530155870619635
LSTM,Mar,0.10195161346587893,0.07489728187184669,0.033038897556290366,0.952105020133532,0.9065039693634734,0.2811075745120384,0.3095296696548658,0.27613495422577644
N-BEATS,Overall,0.15063891873353646,0.11346432407355221,0.0011972400572773662,0.9160391465064456,0.8391277179322573,0.44858869238655075,0.37552878888134883,0.34196432326430337
N-BEATS,Jan,0.12111274245910635,0.09843803426997659,-0.05657923464765667,0.8877741240484383,0.7881428953299718,0.23863898341725331,0.2216081821649234,0.229337775011551
N-BEATS,Feb,0.21279873677530137,0.17219681423645675,0.031186972853408563,0.6798636140805328,0.4622145337506436,0.44858869238655075,0.2714309973377504,0.2530155870619635
N-BEATS,Mar,0.10154260045709691,0.07544191308482695,0.03188621417215742,0.9520346109975356,0.906369900537229,0.2918773048295087,0.3093101365102153,0.27613495422577644
MOIRAI,Overall,0.1492596220204396,0.11737774085485653,-0.033671431544650056,0.9115574171747508,0.8309369248063027,0.3981539263000542,0.34879438329009244,0.34196432326430337
MOIRAI,Jan,0.14043798565790108,0.11387277639584654,-0.060086440369568735,0.8334826473388419,0.6946933234149644,0.28561765321470034,0.1985378314608495,0.229337775011551
MOIRAI,Feb,0.19347274112177135,0.15912246788288836,-0.02853175591816878,0.6878453419932983,0.47313121450187745,0.3981539263000542,0.22778632138148475,0.2530155870619635
MOIRAI,Mar,0.10558039636979234,0.08317779057887001,-0.011898710382359625,0.9356944264453119,0.8755240596808211,0.32929165662121207,0.2972917717902431,0.27613495422577644
